text,type,label
resume generator,0,2
himanshu mani tripathi,2,3
b.tech undergraduate,1,4
computer science and engineering,2,4
"national institute of technology , silchar",2,3
education,2,4
+91-9954964812,0,2
himanshutripathi366 @ gmail.com,2,0
https : //github.com/0dust,2,3
degree/certificate institute/board,1,4
b.tech,0,3
senior secondary,2,4
secondary,2,2
"national institute of technology , silchar",2,4
cbse board,1,3
icse board,2,2
cgpa/percentage,1,4
year,2,3
9.09 ( current ),1,2
2016 - present,2,2
95.2 %,0,4
87.4 %,2,2
2015,1,3
2013,2,2
projects,1,0
sentiment analysis with attention,2,1
analysed sentiments of wikipedia comments using lstm with attention,2,0
may 2016 - july 2016,1,2
me .,1,1
xyz engineer at 'abc ',2,2
designed methods to improve the existing unit test mechanism .,0,4
projects,1,0
keras seq2seq chatbot,2,2
analysed the sentiments of wikipedia comments using lstm networks with attention,2,2
mechanism .,2,1
dec 2015,0,0
ongoing,2,4
